cn,indeg_in_subgraph,depth,arxiv_id,doi,inspire_url,title
675704,13,1,hep-ph/0501260,10.1103/PhysRevC.72.054606,https://inspirehep.net/literature/675704,"Breakdown of QCD factorization at large Feynman x"
811385,13,2,0901.3078,10.1103/PhysRevD.79.054010,https://inspirehep.net/literature/811385,"Sivers effect in Drell-Yan processes"
895006,13,2,1104.0686,10.1103/PhysRevD.84.011502,https://inspirehep.net/literature/895006,"SCET, Light-Cone Gauge and the T-Wilson Lines"
724861,13,3,hep-ph/0608308,10.1016/j.nuclphysb.2007.01.005,https://inspirehep.net/literature/724861,"QCD threshold corrections to di-lepton and Higgs rapidity distributions beyond $N^{2}$ LO"
792561,13,4,0808.0908,10.1103/PhysRevC.79.024901,https://inspirehep.net/literature/792561,"Systematic Comparison of Jet Energy-Loss Schemes in a realistic hydrodynamic medium"
756396,12,1,0707.3150,10.1016/j.physletb.2007.09.008,https://inspirehep.net/literature/756396,"Angular distribution of leptons from the decay of massive vector bosons"
700033,12,2,hep-ph/0512121,10.1016/j.physletb.2006.07.012,https://inspirehep.net/literature/700033,"Double transverse-spin asymmetries in Drell-Yan processes with antiprotons"
786320,12,2,0805.3165,10.1088/1126-6708/2008/08/038,https://inspirehep.net/literature/786320,"Generalized parton correlation functions for a spin-0 hadron"
711769,12,3,hep-ph/0603041,10.1016/j.nuclphysb.2006.06.025,https://inspirehep.net/literature/711769,"Higher-order threshold effects to inclusive processes in QCD"
734018,12,3,hep-ph/0612117,10.1016/j.physletb.2007.01.044,https://inspirehep.net/literature/734018,"Master Formula for Twist-3 Soft-Gluon-Pole Mechanism to Single Transverse-Spin Asymmetry"
785755,12,3,0805.2137,"",https://inspirehep.net/literature/785755,"Sivers effect at HERMES, COMPASS and CLAS12"
1121392,12,3,1207.1303,10.1016/j.nuclphysb.2012.10.003,https://inspirehep.net/literature/1121392,"Parton distributions with LHC data"
778168,12,4,0801.4020,10.1103/PhysRevLett.101.232301,https://inspirehep.net/literature/778168,"Suppression pattern of neutral pions at high transverse momentum in Au$+$Au collisions at $\sqrt{s_{NN}}=$ 200 GeV and constraints on medium transport coefficients"
871366,12,4,1009.5908,10.1140/epjc/s10052-010-1512-2,https://inspirehep.net/literature/871366,"Measurement of Inclusive Jet and Dijet Cross Sections in Proton-Proton Collisions at 7 TeV Centre-of-Mass Energy with the ATLAS Detector"
762198,11,1,0709.3272,10.1103/PhysRevLett.100.032003,https://inspirehep.net/literature/762198,"Azimuthal asymmetric distribution of hadrons inside a jet at hadron collider"
814892,11,1,0903.1219,10.1088/1126-6708/2009/05/053,https://inspirehep.net/literature/814892,"QCD matrix elements and truncated showers"
708911,11,2,hep-ph/0601162,10.1103/PhysRevD.73.074005,https://inspirehep.net/literature/708911,"Threshold resummation for W-boson production at RHIC"
725576,11,2,hep-ph/0609073,10.1016/j.physletb.2006.10.064,https://inspirehep.net/literature/725576,"Threshold resummation of Drell-Yan rapidity distributions"
745968,11,2,hep-ph/0703079,10.1016/j.nuclphysb.2007.04.022,https://inspirehep.net/literature/745968,"Soft gluon corrections to double transverse-spin asymmetries for small-Q(T) dilepton production at RHIC and J-PARC"
749486,11,2,0704.3621,10.1088/0954-3899/34/7/S06,https://inspirehep.net/literature/749486,"Exploring the Partonic Structure of Hadrons through the Drell-Yan Process"
800964,11,2,0810.5212,10.1016/j.physletb.2009.08.052,https://inspirehep.net/literature/800964,"Lorentz invariance relations between parton distributions and the Wandzura-Wilczek approximation"
834212,11,2,0910.3108,10.1142/S0217732309001121,https://inspirehep.net/literature/834212,"Renormalization-group anatomy of transverse-momentum dependent parton distribution functions in QCD"
834244,11,2,0910.3181,10.1142/S0217732309001200,https://inspirehep.net/literature/834244,"Insights on non-perturbative aspects of TMDs from models"
710438,11,3,hep-ph/0602103,10.1103/PhysRevD.73.114002,https://inspirehep.net/literature/710438,"Monte Carlo simulation of single spin asymmetries in pion-proton collisions"
