cn,indeg_in_subgraph,outdeg_in_subgraph,total_internal_citations,depth,arxiv_id,doi,inspire_url,title
724861,7,13,20,3,hep-ph/0608308,10.1016/j.nuclphysb.2007.01.005,,QCD threshold corrections to di-lepton and Higgs rapidity distributions beyond $N^{2}$ LO
775772,7,0,7,3,,10.22323/1.048.0041,,Soft gluon contributions to Drell-Yan and Higgs productions beyond NNLO
787497,7,2,9,2,0806.0946,10.1016/j.nima.2008.05.006,,A Scheme for fast exploratory simulation of azimuthal asymmetries in Drell-Yan experiments at intermediate energies. The DY$\_$AB Monte Carlo event generator
792546,7,4,11,2,0808.0873,10.1063/1.3013083,,Jet correlations from unintegrated parton distributions
800964,7,11,18,2,0810.5212,10.1016/j.physletb.2009.08.052,,Lorentz invariance relations between parton distributions and the Wandzura-Wilczek approximation
803697,7,0,7,2,0811.4596,10.1142/9789814277785_0018,,TMDs and Drell-Yan Experiments at Fermilab and J-PARC
811675,7,6,13,2,0901.3601,10.1016/j.physletb.2009.06.041,,Drell-Yan Lepton Pair Azimuthal Asymmetry in Hadronic Processes
818834,7,2,9,2,0904.4150,10.1140/epjc/s10052-011-1687-1,,Restoration of k(T) factorization for low p(T) hadron hadroproduction
825630,7,7,14,4,0907.2357,10.1103/PhysRevD.80.094004,,PDF Nuclear Corrections for Charged and Neutral Current Processes
826560,7,1,8,3,0907.3897,10.22323/1.069.0002,,Soft Collinear Effective Theory: An Overview
830565,7,10,17,2,0909.1404,10.1103/PhysRevD.80.074032,,Analyzing the Boer-Mulders function within different quark models
846542,7,33,40,2,1002.4407,10.1016/j.nuclphysb.2010.05.008,,A first unbiased global NLO determination of parton distributions and their uncertainties
849885,7,10,17,3,1003.4549,10.1103/PhysRevLett.105.262002,,Measurement of Single and Double Spin Asymmetries in Deep Inelastic Pion Electroproduction with a Longitudinally Polarized Target
861204,7,7,14,3,1007.2351,10.1016/j.physletb.2010.12.024,,Production of Drell-Yan lepton pairs in hadron collisions: Transverse-momentum resummation at next-to-next-to-leading logarithmic accuracy
867461,7,4,11,2,1009.2481,10.1103/PhysRevLett.105.252003,,Soft-gluon resummation and the valence parton distribution function of the pion
872659,7,1,8,2,1010.1860,10.1007/JHEP01(2011)141,,Next-to-Eikonal Corrections to Soft Gluon Radiation: A Diagrammatic Approach
879362,7,5,12,3,1011.5247,,,Parton distributions at the dawn of the LHC
893265,7,8,15,2,1103.3861,10.1103/PhysRevLett.107.062001,,Probing Gluonic Spin-Orbit Correlations in Photon Pair Production
897350,7,0,7,1,1104.5164,,,Factorization at the LHC: From PDFs to Initial State Jets
901081,7,3,10,2,1105.4804,10.1007/JHEP07(2011)065,,Gauge links for transverse momentum dependent correlators at tree-level
919295,7,0,7,3,1107.3984,,,Quark Wigner Distributions
929848,7,9,16,3,1109.6027,10.1007/JHEP02(2012)124,,Electroweak Gauge-Boson Production at Small $q_T$: Infrared Safety from the Collinear Anomaly
943373,7,1,8,3,1110.6102,10.1393/ncc/i2012-11176-x,,Hadron Tomography through Wigner Distributions
1082984,7,3,10,3,1112.6324,10.1103/PhysRevD.85.074028,,Global Analysis of Nuclear Parton Distributions
1088034,7,0,7,3,,,,Measurement of the inclusive jet cross-section in proton-proton collisions at $\sqrt{s}$ = 7 TeV with the ATLAS detector
1120533,7,0,7,3,1206.7039,10.22323/1.157.0059,,Integrated and unintegrated PDFs and GPDs from effective two-body light-cone wave functions
1231106,7,0,7,4,,,,Study of Heavy Flavours from Muons Measured with the ALICE Detector in Proton-Proton and Heavy-Ion Collisions at the CERN-LHC
1231216,7,0,7,2,,,,Study of T-odd parton distribution functions in polarised Drell-Yan processes at COMPASS
1429495,7,0,7,3,,,,Two-particle correlations as a function of relative azimuthal angle and pseudorapidity in proton-proton collisions registered by the ALICE experiment
1452600,7,0,7,3,,10.14989/doctor.k19486,,Nuclear modification of electron yields from charm and bottom hadrons in Au$+$Au collisions at $\sqrt{s_{NN}}$ = 200 GeV
1667807,7,0,7,2,,,,Physics with jets in association with a $Z$ boson in pp-collisions with the ATLAS detector at the Large Hadron Collider
1859831,7,0,7,3,,,,Infrared QCD resummations at hadron colliders
708911,6,11,17,2,hep-ph/0601162,10.1103/PhysRevD.73.074005,,Threshold resummation for W-boson production at RHIC
711769,6,12,18,3,hep-ph/0603041,10.1016/j.nuclphysb.2006.06.025,,Higher-order threshold effects to inclusive processes in QCD
716284,6,16,22,2,hep-ph/0605068,10.1016/j.nuclphysb.2006.07.002,,"Resummation of threshold logarithms in effective field theory for DIS, Drell-Yan and Higgs production"
719597,6,0,6,2,hep-ph/0606195,10.1103/PhysRevD.74.057501,,Study on the feasibility of a precise measurement of the tau dependence of the cross sections for Drell-Yan experiments at moderate energies
749486,6,11,17,2,0704.3621,10.1088/0954-3899/34/7/S06,,Exploring the Partonic Structure of Hadrons through the Drell-Yan Process
752700,6,17,23,1,0706.1196,10.1103/PhysRevD.76.074029,,Single Transverse-Spin Asymmetry in Hadronic Dijet Production
766732,6,26,32,2,0711.0636,10.1016/j.physletb.2007.11.096,,On the Relation Between Mechanisms for Single-Transverse-Spin Asymmetries
783431,6,10,16,2,0804.2408,10.1016/j.nuclphysb.2008.06.011,,Angular dependences in inclusive two-hadron production at BELLE
